# Top 100 High-Frequency Words
el/la | the | article | El perro y la gata juegan.
fuerte | strong | adjective | Él es muy fuerte.
débil | weak | adjective | Me siento un poco débil.
joven | young | adjective | Es demasiado joven para conducir.
mayor | older/larger | adjective | Mi hermano mayor vive en Madrid.
mejor | better/best | adjective | Él es mi mejor amigo.
peor | worse/worst | adjective | Fue el peor día de mi vida.
aquí | here | adverb | Ven aquí, por favor.
allí/allá | there | adverb | Mi casa está allí.
cerca | close/near | adverb | Vivo cerca de la escuela.
lejos | far | adverb | El supermercado está lejos.
antes | before | adverb | Tienes que terminar antes de mañana.
después | after/afterward | adverb | Vamos a comer después.
siempre | always | adverb | Siempre me levanto temprano.
nunca | never | adverb | Nunca he estado en España.
pronto | soon | adverb | Te veré muy pronto.
tarde | late/afternoon | adverb | Llegué demasiado tarde al tren.
temprano | early | adverb | Mañana me levantaré temprano.
mucho | much/a lot/very | adverb | Trabajo mucho todos los días.
poco | little/not much | adverb | Queda poco tiempo.
bastante | enough/quite | adverb | Es bastante inteligente.
demasiado | too much/too | adverb | Comí demasiado pastel.
solo/solamente | only/just | adverb | Solo quiero un café.
todavía/aún | still/yet | adverb | Todavía no he terminado.
ya | already/now/yet | adverb | Ya son las diez y media.
también | also/too | adverb | Yo también hablo inglés.
tampoco | neither/not either | adverb | Él no sabe, y yo tampoco.
así | like this/so/thus | adverb | Lo hice así.
bien | well | adverb | Cantas muy bien.
mal | badly/poorly | adverb | El coche funciona mal.
quizás/tal vez | maybe/perhaps | adverb | Quizás llueva mañana.
seguro | sure/safe | adjective | Estoy seguro de que vendrá.

# Time, Numbers, & Calendar
uno | one | number | Solo quiero un helado.
dos | two | number | Tengo dos hermanos.
tres | three | number | Hay tres libros en la mesa.
cuatro | four | number | Las cuatro de la tarde.
cinco | five | number | Cinco minutos más.
seis | six | number | Seis personas vinieron a la cena.
siete | seven | number | Trabajo los siete días de la semana.
ocho | eight | number | Duermo ocho horas diarias.
nueve | nine | number | Nueve de cada diez dentistas lo recomiendan.
diez | ten | number | Diez euros, por favor.
veinte | twenty | number | Cuesta veinte dólares.
treinta | thirty | number | Tengo treinta años.
cuarenta | forty | number | Somos cuarenta en la clase.
cincuenta | fifty | number | El abrigo cuesta cincuenta euros.
cien | hundred | number | Más de cien personas asistieron.
primero | first | adjective | Mi primera lección.
segundo | second | adjective | El segundo piso.
tercero | third | adjective | Vive en el tercer piso.
lunes | Monday | noun | Nos vemos el lunes.
martes | Tuesday | noun | El martes tengo una reunión.
miércoles | Wednesday | noun | El miércoles es mi cumpleaños.
jueves | Thursday | noun | Salimos este jueves.
viernes | Friday | noun | Por fin es viernes.
sábado | Saturday | noun | El sábado vamos a la playa.
domingo | Sunday | noun | Los domingos descanso.
enero | January | noun | Hace frío en enero.
febrero | February | noun | Mi cumpleaños es en febrero.
marzo | March | noun | La primavera empieza en marzo.
abril | April | noun | Lluvias de abril.
mayo | May | noun | Mi madre nació en mayo.
junio | June | noun | Terminamos las clases en junio.
julio | July | noun | Nos vamos de vacaciones en julio.
agosto | August | noun | Hace mucho calor en agosto.
septiembre | September | noun | En septiembre vuelvo al trabajo.
octubre | October | noun | Halloween es en octubre.
noviembre | November | noun | Noviembre es un mes frío.
diciembre | December | noun | Navidad es en diciembre.
hoy | today | adverb | Hoy es un buen día.
ayer | yesterday | adverb | Ayer llovió mucho.
mañana | tomorrow/morning | noun | Mañana será otro día.
noche | night | noun | Buenas noches.
tarde | afternoon | noun | Buenas tardes.
semana | week | noun | Nos vemos la próxima semana.
mes | month | noun | El próximo mes viajo a España.
año | year | noun | Feliz año nuevo.
hora | hour | noun | Tienes una hora para terminar.
minuto | minute | noun | Dame un minuto.
segundo | second | noun | Espera un segundo.
reloj | clock/watch | noun | Mi reloj está roto.
vez | time/instance | noun | Es la primera vez que vengo.
siempre | always | adverb | Siempre llego a tiempo.
nunca | never | adverb | Nunca bebo alcohol.
próximo | next | adjective | El próximo tren sale a las seis.
pasado | past/last | adjective | El fin de semana pasado estuve enfermo.
ahora | now | adverb | Tienes que venir ahora.
ya | already/now | adverb | Ya son las diez.
todavía | still/yet | adverb | Todavía estoy trabajando.

# People, Family, & Home
hombre | man | noun | Ese hombre es muy alto.
mujer | woman | noun | Aquella mujer es mi profesora.
niño/niña | boy/girl | noun | Los niños juegan en el parque.
padre | father | noun | Mi padre es médico.
madre | mother | noun | Mi madre cocina muy bien.
hermano/hermana | brother/sister | noun | Tengo un hermano menor.
hijo/hija | son/daughter | noun | Ellas son mis hijas.
abuelo/abuela | grandfather/grandmother | noun | Mis abuelos viven en el campo.
tío/tía | uncle/aunt | noun | Mi tía me compró un regalo.
pronto/prima | cousin | noun | Mis primos vienen esta tarde.
amigo/amiga | friend | noun | Él es mi mejor amigo.
novio/novia | boyfriend/girlfriend | noun | Ella es mi novia.
esposo/esposa | husband/wife | noun | Su esposo trabaja en un banco.
familia | family | noun | Mi familia es muy grande.
persona | person | noun | Ella es una buena persona.
gente | people | noun | Hay mucha gente en la calle.
señor/señora | Mr./Mrs. | noun | El señor García está aquí.
casa | house/home | noun | Vivo en una casa blanca.
apartamento | apartment | noun | Mi apartamento es pequeño.
habitación | room/bedroom | noun | Mi habitación está limpia.
baño | bathroom | noun | ¿Dónde está el baño?
cocina | kitchen | noun | La cocina huele muy bien.
sala | living room | noun | Vemos la televisión en la sala.
puerta | door | noun | Cierra la puerta, por favor.
ventana | window | noun | Abre la ventana, hace calor.
mesa | table | noun | La comida está en la mesa.
silla | chair | noun | Por favor, siéntate en esta silla.
cama | bed | noun | Estoy cansado, me voy a la cama.
mueble | piece of furniture | noun | Necesitamos muebles nuevos.
televisión | television | noun | Están viendo la televisión.
radio | radio | noun | Me gusta escuchar la radio.
teléfono | phone/telephone | noun | Sonó el teléfono.
ropa | clothes/clothing | noun | Tengo que comprar ropa nueva.
camisa | shirt | noun | Llevo una camisa azul.
pantalones | pants/trousers | noun | Estos pantalones son muy grandes.
zapato | shoe | noun | Me gustan tus zapatos nuevos.
vestido | dress | noun | Lleva un vestido rojo.
abrigo | coat | noun | Ponte el abrigo, hace frío.
sombrero | hat | noun | Me gusta tu sombrero.
gafas | glasses | noun | No puedo ver sin mis gafas.

# Food, Dining, & Travel
agua | water | noun | Un vaso de agua, por favor.
comida | food/meal | noun | La comida está servida.
pan | bread | noun | Necesito comprar pan.
carne | meat | noun | No como carne, soy vegetariano.
pescado | fish | noun | Hoy cenamos pescado.
pollo | chicken | noun | El pollo asado huele bien.
queso | cheese | noun | Me encantan los macarrones con queso.
huevo | egg | noun | Desayuno dos huevos todos los días.
fruta | fruit | noun | Debes comer más fruta.
manzana | apple | noun | Una manzana al día.
naranja | orange | noun | Quiero un zumo de naranja.
plátano | banana | noun | Los monos comen plátanos.
tomate | tomato | noun | Ensalada de tomate y lechuga.
cebolla | onion | noun | Lloré cortando la cebolla.
patata | potato | noun | Tortilla de patatas, por favor.
arroz | rice | noun | Me gusta el arroz blanco.
sal | salt | noun | ¿Me pasas la sal?
azúcar | sugar | noun | Un café sin azúcar.
aceite | oil | noun | Aceite de oliva español.
leche | milk | noun | Leche fría o caliente.
café | coffee | noun | Necesito un café fuerte.
té | tea | noun | Me gusta el té verde.
vino | wine | noun | Una botella de vino tinto.
cerveza | beer | noun | Dos cervezas frías, por favor.
desayuno | breakfast | noun | ¿Qué hay para el desayuno?
almuerzo | lunch | noun | La hora del almuerzo es a la una.
cena | dinner | noun | ¿Qué vamos a cenar?
viaje | trip/journey | noun | ¡Buen viaje!
coche | car | noun | Voy en coche al trabajo.
autobús | bus | noun | El autobús llega en cinco minutos.
tren | train | noun | El tren sale de la vía tres.
avión | airplane | noun | Tengo miedo a volar en avión.
bicicleta | bicycle | noun | Me gusta pasear en bicicleta.
calle | street | noun | Vivo en la calle mayor.
camino | road/path | noun | Este camino va al lago.
estación | station | noun | ¿Dónde está la estación de tren?
aeropuerto | airport | noun | Voy al aeropuerto a recogerla.
billete | ticket/bill | noun | Un billete de ida y vuelta.
hotel | hotel | noun | Nos alojamos en un hotel céntrico.
restaurante | restaurant | noun | Conozco un restaurante muy bueno.
ciudad | city | noun | Madrid es una ciudad hermosa.
pueblo | town/village | noun | Crecí en un pueblo pequeño.
país | country | noun | España es un país de Europa.
mundo | world | noun | Quiero viajar por todo el mundo.
playa | beach | noun | Vamos a la playa este verano.
mar | sea | noun | El mar está muy tranquilo hoy.
montaña | mountain | noun | Nos fuimos de excursión a la montaña.

# Health, Body & Emergencies
cabeza | head | noun | Me duele la cabeza.
mano | hand | noun | Dame la mano.
ojo | eye | noun | Ella tiene los ojos azules.
boca | mouth | noun | Cállate la boca.
brazo | arm | noun | Se rompió el brazo.
pierna | leg | noun | Me duelen las piernas de tanto correr.
pie | foot | noun | Tengo frío en los pies.
pelo | hair | noun | Tiene el pelo largo.
cara | face | noun | Lávate la cara.
espalda | back | noun | Me duele mucho la espalda.
estómago | stomach | noun | Tengo dolor de estómago.
corazón | heart | noun | Mi corazón late muy rápido.
sangre | blood | noun | Sale mucha sangre.
hueso | bone | noun | El perro está masticando un hueso.
piel | skin | noun | Tengo la piel seca.
dedo | finger/toe | noun | Me corté el dedo.
enfermo | sick | adjective | Me siento muy enfermo.
dolor | pain | noun | Tengo un dolor terrible.
médico | doctor | noun | Tienes que ir al médico.
hospital | hospital | noun | Mi abuela está en el hospital.
farmacia | pharmacy | noun | Necesito ir a la farmacia.
medicina | medicine | noun | Tómate la medicina.
píldora | pill | noun | Una píldora para dormir.
fiebre | fever | noun | El niño tiene fiebre alta.
tos | cough | noun | Esa tos suena muy mal.
gripe | flu | noun | Hay epidemia de gripe.
resfriado | cold (illness) | noun | He cogido un buen resfriado.
accidente | accident | noun | Vi un accidente de coche.
ayuda | help | noun | ¡Necesito ayuda!
policía | police | noun | ¡Llama a la policía!
bombero | firefighter | noun | Los bomberos apagaron el fuego.
peligro | danger | noun | ¡Peligro de muerte!
cuidado | care/caution | noun | ¡Ten cuidado!
seguro | safe/sure | adjective | Estás seguro aquí.
urgencia | emergency | noun | Es una urgencia médica.
salud | health | noun | El dinero no da la salud.
vida | life | noun | Me salvó la vida.
muerte | death | noun | Vida y muerte.

# Business, Study, & Tech Essentials
trabajo | work/job | noun | Busco trabajo.
empresa | company | noun | Trabajo en una gran empresa.
oficina | office | noun | Mi oficina está en el centro.
jefe / jefa | boss | noun | Mi jefe es muy estricto.
dinero | money | noun | No tengo dinero para eso.
banco | bank | noun | Tengo que ir al banco hoy.
precio | price | noun | ¿Cuál es el precio?
mercado | market | noun | Compramos verduras en el mercado.
tienda | store/shop | noun | Esa tienda cierra a las nueve.
negocio | business | noun | Tienen un negocio familiar.
cliente | customer/client | noun | El cliente siempre tiene la razón.
computadora/ordenador | computer | noun | Uso la computadora todos los días.
pantalla | screen | noun | La pantalla de mi móvil está rota.
teclado | keyboard | noun | Necesito un teclado nuevo.
ratón/mouse | mouse | noun | El ratón no funciona.
internet | internet | noun | Se cayó la conexión a internet.
correo / email | mail/email | noun | Te enviaré un correo mañana.
mensaje | message | noun | Me dejó un mensaje de voz.
red | network/net | noun | La red wifi no funciona.
datos | data | noun | He perdido todos mis datos.
escuela | school | noun | Los niños están en la escuela.
universidad | university | noun | Estudia en la universidad.
clase | class | noun | Tengo clase a las diez.
profesor/profesora | teacher | noun | El profesor es muy aburrido.
estudiante/alumno | student | noun | Soy estudiante universitario.
libro | book | noun | Estoy leyendo un buen libro.
cuaderno | notebook | noun | Escríbelo en tu cuaderno.
lápiz | pencil | noun | ¿Me prestas un lápiz?
bolígrafo | pen | noun | Necesito un bolígrafo azul.
examen | exam/test | noun | Mañana tengo un examen importante.
pregunta | question | noun | Tengo una pregunta.
respuesta | answer | noun | No sé la respuesta.
ejemplo | example | noun | Por ejemplo, los gatos.
palabra | word | noun | ¿Qué significa esta palabra?
idioma | language | noun | El español es un idioma hermoso.
historia | history/story | noun | Me gusta la historia antigua.
ciencia | science | noun | La biociencia es el futuro.
arte | art | noun | Un museo de arte moderno.
música | music | noun | Escucho música mientras estudio.
canción | song | noun | Esa canción es mi favorita.
película | movie | noun | ¿Qué película vamos a ver?
juego | game | noun | Vamos a jugar un juego.
equipo | team/equipment | noun | Nuestro equipo ganó.

# Common Connectors & Prepositions
con | with | preposition | Lo hice con cuidado.
de | of/from | preposition | La casa de mi madre.
a | to/at | preposition | Voy a dormir.
en | in/on | preposition | Está en la caja.
por | for/by | preposition | Comprado por diez euros.
para | for/in order to | preposition | Es para ti.
sin | without | preposition | Un café sin leche.
sobre | about/on/over | preposition | Hablamos sobre política.
entre | between/among | preposition | Está entre tú y yo.
hasta | until/even | preposition | Trabajo hasta el viernes.
desde | from/since | preposition | Te espero desde ayer.
hacia | toward | preposition | Miró hacia la ventana.
contra | against | preposition | Jugamos contra ellos.
según | according to | preposition | Según las noticias, lloverá.
bajo | under | preposition | El perro está bajo la mesa.
ante | before/in the presence of | preposition | Temblaba ante el juez.
tras | after/behind | preposition | Corrió tras el ladrón.
durante | during | preposition | Llovió durante la noche.
mediante | by means of | preposition | Lo pagó mediante transferencia.
y/e | and | conjunction | Juan y María (Padre e hijo).
o/u | or | conjunction | ¿Té o café? (Siete u ocho).
pero | but | conjunction | Es tarde, pero me quedo.
sino | but rather | conjunction | No es azul, sino verde.
aunque | although/even though | conjunction | Saldré, aunque llueva.
porque | because | conjunction | Lloro porque estoy triste.
como | like/as/since | conjunction | Canta como un ángel.
si | if/whether | conjunction | Dime si quieres venir.
cuando | when | conjunction | Era joven cuando nos conocimos.
mientras | while | conjunction | Escucha música mientras estudia.
que | that/than | conjunction/pronoun | Quiero que vengas.
donde | where | conjunction/adverb | Vamos donde tú quieras.
quien | who/whom | pronoun | ¿Con quién fuiste?
cual | which/who | pronoun | Esta es la casa en la cual nací.
entonces | then | adverb/conjunction | Entonces, nos vamos.
luego | later/then | adverb | Voy al banco y luego a casa.
así | thus/so/this way | adverb | No lo hagas así.
también | also/too | adverb | Yo también tengo hambre.
tampoco | neither/not either | adverb | Yo tampoco sé.
ya | already/anymore | adverb | Ya no creo en eso.
todavía/aún | still/yet | adverb | ¿Todavía estás aquí?
además | besides/in addition | adverb | Además, es muy caro.
incluso | even/including | adverb/preposition | Incluso él lo sabe.
tal vez / quizás | maybe/perhaps | adverb | Quizás tengas razón.
siempre | always | adverb | Siempre dice la verdad.
nunca/jamás | never | adverb | Jamás olvidaré este día.
claro | of course/clear | adjective/adverb | ¡Claro que sí!
bueno | well.../good | adjective/interjection | Bueno, me voy.
pues | well/since | conjunction/interjection | Pues no lo sé.
hola | hello | greeting | ¡Hola, qué tal!
adiós | goodbye | greeting | ¡Adiós, hasta luego!
gracias | thank you | greeting | Muchas gracias por todo.
por favor | please | phrase | Un café, por favor.
lo siento | I'm sorry | phrase | Lo siento mucho.
perdón | excuse me/sorry | greeting | Perdón, me he equivocado.
de nada | you're welcome | phrase | -¡Gracias! -De nada.
vale | okay | phrase | Vale, nos vemos a las ocho.

EOF

# Core Adjectives & Adverbs
feliz | happy | adjective | Ella siempre está feliz.
triste | sad | adjective | Hoy me siento un poco triste.
cansado | tired | adjective | Estoy muy cansado de trabajar.
enfermo | sick | adjective | No voy porque estoy enfermo.
sano | healthy | adjective | Comer fruta te mantiene sano.
fuerte | strong | adjective | Es un hombre muy fuerte.
débil | weak | adjective | Me siento débil.
inteligente | intelligent/smart | adjective | Mi hija es muy inteligente.
tonto | silly/dumb | adjective | No seas tonto.
rápido | fast/quick | adjective | Este coche es muy rápido.
lento | slow | adjective | El autobús va muy lento.
caro | expensive | adjective | Esa casa es demasiado cara.
barato | cheap | adjective | Encontré zapatos muy baratos.
limpio | clean | adjective | Mi habitación está limpia.
sucio | dirty | adjective | Tienes los zapatos sucios.
lleno | full | adjective | El cine estaba lleno.
vacío | empty | adjective | El vaso está vacío.
abierto | open | adjective | La puerta está abierta.
cerrado | closed | adjective | El museo está cerrado los lunes.
fácil | easy | adjective | El examen fue muy fácil.
difícil | difficult/hard | adjective | Aprender ruso es muy difícil.
posible | possible | adjective | Creo que es posible.
imposible | impossible | adjective | Eso es imposible de hacer.
seguro | sure/safe | adjective | Estoy seguro de que vendrá.
peligroso | dangerous | adjective | Conducir rápido es peligroso.
importante | important | adjective | Tenemos una reunión importante.
mismo | same | adjective | Tenemos el mismo coche.
distinto | different | adjective | Somos de países distintos.
único | only/unique | adjective | Es mi único hermano.
solo | alone/lonely | adjective | No me gusta estar solo.
próximo | next | adjective | Nos vemos la próxima semana.
último | last/final | adjective | Es la última vez que te lo digo.
anterior | previous | adjective | En la página anterior.
siguiente | following/next | adjective | Lea el siguiente párrafo.
cierto | true/certain | adjective | Eso no es cierto.
falso | false/fake | adjective | Las noticias eran falsas.
claro | clear/light | adjective | El agua está muy clara.
oscuro | dark | adjective | El cuarto está oscuro.
pesado | heavy | adjective | Esta caja es muy pesada.
ligero | light (weight) | adjective | Necesito equipaje ligero.
duro | hard | adjective | Este pan está muy duro.
suave | soft/smooth | adjective | Tiene la piel muy suave.
frío | cold | adjective | El invierno es frío.
caliente | hot | adjective | Ten cuidado, el plato está caliente.
seco | dry | adjective | Necesito un paño seco.
mojado | wet | adjective | Estoy mojado por la lluvia.
